x,y,r,maturity,stress,nab1,t_birth,t_death
130,295,150,1,0,0,1426.9,1470.0
145,112,150,1,0,0,1439.9,1470.9
437,-72,150,1,0,0,1470.2,1472.7
992,-48,150,1,0,0,1474.3,1474.9
531,-54,150,1,0,0,1475.0,1477.8
846,-371,150,1,0,0,1463.3,1478.0
14,-350,150,1,0,0,1442.2,1478.1
140,-395,150,1,0,0,1399.3,1482.1
966,-198,150,0,0,0,1482.2,-1482.3
321,176,150,1,0,0,1437.0,1482.4
968,9,150,1,0,0,1470.8,1483.7
546,335,150,1,0,0,1468.3,1484.2
306,-252,150,1,0,0,1483.8,1485.4
153,6,150,1,0,0,1442.3,1488.3
978,-307,150,1,0,0,1476.9,1488.5
20,318,150,1,0,0,1464.5,1489.3
562,226,150,0,0,0,1490.8,-1490.9
424,440,150,1,0,0,1446.4,1491.7
813,294,150,0,0,0,1492.6,-1492.6
566,371,150,1,0,0,1444.9,1492.6
592,405,150,1,0,0,1468.9,1493.9
132,492,150,1,0,0,1495.2,1497.6
824,-109,150,0,0,0,1497.6,-1497.6
721,391,150,1,0,0,1490.4,1497.8
645,-139,150,1,0,0,1466.4,1499.4
942,466,150,1,0,0,1477.3,1500.6
456,413,150,1,0,0,1499.2,1504.0
825,126,150,0,0,0,1504.4,-1504.4
301,-49,150,1,0,0,1488.1,1505.5
844,156,150,1,0,0,1468.9,1506.3
708,206,150,0,0,0,1507.3,-1507.3
640,78,150,0,0,0,1507.3,-1507.4
652,24,150,1,0,0,1501.7,1508.8
66,-287,150,1,0,0,1485.5,1509.3
601,-431,150,0,0,0,1509.6,-1509.6
914,-495,150,1,0,0,1474.2,1511.7
877,-221,150,0,0,0,1511.6,-1511.7
806,-452,150,1,0,0,1503.5,1511.9
861,429,150,1,0,0,1479.1,1512.2
492,390,150,1,0,0,1448.5,1514.2
702,-8,150,1,0,0,1448.6,1514.7
378,-441,150,1,0,0,1512.6,1517.3
173,42,150,1,0,0,1497.6,1519.9
108,490,150,1,0,0,1511.6,1520.5
411,222,150,1,0,0,1477.8,1521.5
578,-269,150,0,0,0,1521.7,-1521.8
512,-418,150,0,0,0,1522.7,-1522.7
685,-440,150,0,0,0,1524.8,-1524.9
381,285,150,1,0,0,1481.7,1525.1
614,-233,150,0,0,0,1527.4,-1527.5
900,31,150,1,0,0,1472.2,1527.5
509,-68,150,1,0,0,1466.8,1527.8
527,156,150,1,0,0,1464.7,1528.0
137,2,150,1,0,0,1519.2,1528.8
